canonical_service_key,db_id,admin_display_name,customer_display_name,website_quote_form_name,estimator_agent_terminology,invoice_line_item_name,status,residential_eligible,commercial_eligible,one_time_or_recurring,visit_frequency,actual_annual_visit_count,unit_of_pricing,required_estimator_inputs,optional_modifiers,labor_formula,material_formula,protocol_linkage,inventory_linkage,equipment_linkage,minimum_price,floor,cap,target_margin,margin_floor,discount_eligibility,waveguard_eligibility,tax_treatment,deposit_treatment,annual_prepay_treatment,manual_fallback_behavior,test_coverage,known_gaps,recommended_action,owner_decision_required
lawn_care_quarterly,c338f5a9-7745-4cf1-84a0-9c4415bd1eaa,(retired from builder menu),Quarterly Lawn Care Service,catalog quote-selectable; engine basic/4x RETIRED (lawnFreq=4 -> enhanced 9x),n/a,'Quarterly Lawn Care Service',active (catalog) / RETIRED in engine,yes,no,recurring,quarterly,4,none — normalizes to 9x,none,none,none,none,none,none,none,none,none,none,n/a,n/a,none,qualifier,exempt,retired,n/a,lawnFreq=4 silently prices as 9x (P2 finding),none,catalog sells 4 visits; engine prices 9 visits under the same request,deactivate/hide the catalog row or add a 4x column,Adam: is quarterly lawn still sold?
lawn_care_one_time,105a3761-f5d7-41d6-a1e6-1965b1e869a3,One-Time Lawn Care Service (svcOnetimeLawn),One-Time Lawn,n/a (leads),oneTimeLawn {treatmentType},'One-Time Lawn Care Service',active,yes,no,one-time,n/a,1,recurring per-app x treatment mult (fert 1.00 / weed 1.12 / pest 1.30 / fungicide 1.38) x 1.50; floor $115,lawn sqft; grass track; treatment type,urgency; recurringCustomer perk,none priced,none priced,protocols.json,none,none,$115,$115,none,n/a,n/a,15% perk,no,exempt,retired,n/a,n/a,one-time treatments test,engine key one_time_lawn maps to TWO catalog rows (lawn_care_one_time + lawn_pest_knockdown) so booked visits carry service_id NULL,split engine keys per treatment type,none
lawn_pest_knockdown,070d4939-7d78-4d24-bee1-2bd91e08dad9,(shares one_time_lawn),Lawn Pest Knockdown Service,n/a,lawnPestControl,'Lawn Pest Knockdown Service',active,yes,no,one-time,n/a,1,one_time_lawn x 1.30,lawn sqft,same,none,none,protocols.json,none,none,$150 (catalog base_price) vs $115 engine floor,$115,none,n/a,n/a,15% perk,no,taxable=true in catalog,retired,n/a,n/a,none direct,catalog says taxable=true for a residential lawn treatment; engine key shared,fix taxability; separate key,none
dethatching,255b2742-961e-4206-a413-dacf38f268a3,Lawn Dethatching Service,Lawn Dethatching Service,dethatching (quote-on-request),n/a (composer excludes),'Lawn Dethatching Service',active,yes,no,one-time,n/a,1,cost-plus: (material $2.10/1K + labor time model) / 0.40 (60% target) + cleanup adder; floor $150,lawn sqft; grass type (St. Augustine needs manager approval); cleanup level; access; thatch probes,manager approval reason,time model: 100 sf/min primary + 200 sf/min cross + 30 setup + cleanup min/1K + access,$2.10/1K,protocols.json (name),none,'LAWN-001 Classen TR-20H' label only (no calibration),$150,$150,manual review >10000 sf or heavy cleanup >6000 sf,60%,n/a,15% perk,no,taxable=true in catalog,retired,n/a,manager approval gate,dethatching tests + hardening,walking-speed proxy is hard-coded not equipment-driven,fine as is; verify taxability,none
plugging,092c37e4-0563-4a6b-9ca4-8e40744d8e14,Lawn Plugging Service,Lawn Plugging Service,plugging (quote-on-request),n/a (composer excludes),'Lawn Plugging Service',active,yes,no,one-time,n/a,1,cost-plus: plugs x $1.111 + (plugs/150) x $35 then / 0.55 (45% target); floor $250,plug area (defaults to WHOLE lawn if blank); spacing,urgency,150 plugs per labor hour,$19.99/18-plug tray,none,none,none,$250,$250,none,45%,n/a,15% perk,no,taxable=true in catalog,retired,n/a,n/a,drift test (client),blank plug area prices the whole lawn (4500 sf x 1.0/sf = 4500 plugs = $10995),require an explicit plug area,none
top_dressing,1395f096-c653-4f76-86e1-0ea6188db3fa,Lawn Top Dressing Service,Lawn Top Dressing Service,topDressing (accepted by API; not in menu),n/a (composer excludes),'Lawn Top Dressing Service',active,yes,no,one-time,n/a,1,cost-plus: sand $4.09 + delivery ($2.62 / $5.24) per 1K + labor (sf/130 min + 30/45 setup) / 0.40 or 0.35; floors $250/$450,area (blank = 65% of lawn sqft when no recurring lawn),depth,sf/130 min + setup,sand 1.04 cu-yd/1K (1/8") or 2.08 (1/4"),none,none,'LAWN-002 EcoLawn' label only,$250 / $450,same,none,60% / 65%,n/a,15% perk,no,taxable=true in catalog,retired,n/a,n/a,drift tests,hidden 65% treatable assumption when no recurring lawn,expose the area assumption on the estimate,none
lawn_aeration,cf1030e4-5577-442f-91ac-81ea25c764bf,n/a,Core Aeration Service,n/a,composer SKIPS aeration,n/a,archived,-,-,one-time,-,-,none,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,manual,none,no pricer,leave archived,none
lawn_fertilization,81037fad-84c6-453f-96cf-6221d855d285,n/a,Lawn Fertilization & Weed Control Service,n/a,n/a,n/a,archived,-,-,recurring,bimonthly,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,still referenced by trace-eligibility/self-booking/lead-webhook,retire references,none
lawn_fungicide,ac2c3672-ed36-452f-a7e8-578c5ad699f8,n/a,Lawn Fungicide Treatment Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,(one_time_lawn fungicide mult 1.38),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,archived,none,none
lawn_insect_control,af3b6f23-0a26-4b19-9806-0e35f50d48a4,n/a,Lawn Insect Control Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,archived,none,none
lawn_re_service,5f97243f-0c47-4491-b180-bc348cc6f5e6,(callback),Lawn Care Re-Service,n/a,n/a,'Lawn Care Re-Service' ($0),active (internal),yes,yes,one-time,n/a,as needed,$0,none,none,not modeled ($2/visit callback reserve in lawn cost floor only),none,none,none,none,$0,n/a,n/a,n/a,n/a,n/a,n/a,exempt,n/a,n/a,n/a,none,none,none,none
lawn_tree_shrub_combo,bd79a463-99d4-4670-b18a-031bc1d1b8e0,n/a,Lawn + Tree & Shrub Service,n/a,n/a,n/a,archived (combined),-,-,recurring,bimonthly,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,referenced by estimate-converter.js:259 / estimate-ai-context / SchedulePage.jsx,retire references,none
lawn_inspection,ba1c3b87-c682-43d1-a73e-47bfff5aa7bd,Waves Assessment,Waves Assessment,n/a,n/a,'Waves Assessment',active,yes,yes,one-time,n/a,1,none (free/consult),none,none,none,none,none,none,none,$0,n/a,n/a,n/a,n/a,n/a,n/a,exempt,n/a,n/a,manual,none,unpriced appointment lane,none,none
new_customer_inspection,20c1abf5-a3ea-4f48-b62a-c8f0bdeb5c71,n/a,New Customer Property Inspection Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,manual,none,archived,none,none
pest_inspection,c9fb638c-950a-4d64-971b-c9ccae8c1b82,n/a,Pest Inspection Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,manual,none,archived,none,none
mosquito_seasonal,a7c860d0-c360-4640-9627-c83020a07b60,Mosquito Control (svcMosquito) program seasonal9,Mosquito & No-See-Um Control / Mosquito Control,mosquito (tier=seasonal9) / catalog mosquito_seasonal,mosquito {tier REQUIRED},'Seasonal Mosquito Control Service',active,yes,no (commercial_mosquito),recurring,seasonal_feb_oct,9,per visit from treatable-area anchors (SMALL $77 ... ACRE $102 seasonal) x pressure,lot sqft (treatable = lot - footprint - hardscape estimate); features,stations (+$39/yr each); dunks (+$4/yr each); water proximity level (x1.02-1.35); pressure factors,report-only: 30 min + 20 drive x $35,report-only: Bifen I/T max(3 oz; 0.5 oz/1000 sf) x $0.32 + Tekko Pro 1 oz x $3.31 = ~$4.27/visit,protocols.json mosquito,none (product costs are literals equal to catalog best_price at audit time),none,SMALL $77,category floor,pressure cap 2.0x; ACRE manual review,n/a,35% report-only,tier %; manual,qualifier,exempt,retired,solo: 0% prepay (membership-fee mix; annualPrepayDiscountComponents) + $99 setup waived on prepay; seasonal_feb_oct is UNSUPPORTED for prepay coverage (prepay-cadence.js) so a prepay election converts as a standard acceptance; with pest: no setup fee + normal 5% prepay,missing lot -> ACRE (fail-expensive) + review,mosquito hardening + cadence guard + audit golden cases,README documents +10% nearWater but engine applies x1.20 (CLOSE) multiplier; treatable area is a lot-derived heuristic (hardscape curve),update docs; keep,none
mosquito_monthly,db61a24e-79e2-42dd-a347-0540e2a47f4a,Mosquito Control program monthly12,Mosquito Control,mosquito (tier=monthly12),mosquito {tier:monthly12},'Monthly Mosquito Control Service',active,yes,no,recurring,monthly,12,per visit (monthly12 column; never above seasonal9 per visit),same,same,same,same,same,none,none,SMALL $69,same,same,n/a,35% report-only,tier %; manual,qualifier,exempt,retired,solo: 0% prepay (membership-fee mix) + $99 setup waived on prepay (monthly cadence IS prepay-coverable); with pest: no setup fee + normal 5% prepay,same,same,same,same,none
mosquito_one_time,1abf7695-ce0b-46c0-86dd-9f80b41674c6,One-Time Mosquito Control Service (svcOnetimeMosquito),One-Time Mosquito,mosquito_one_time (selectable; not instant),oneTimeMosquito,'One-Time Mosquito Control Service',active,yes,no,one-time,n/a,1,flat by treatable bucket ($156 SMALL ... $282 ACRE_CLASS; +$42 per 10000 sf over acre) + stations $75 + dunks $15,lot sqft; footprint,stations; dunks,none,none,protocols.json,none,none,$156,$156,over-acre manual review,n/a,n/a,none (no tier %; no urgency),no,taxable=true in catalog vs engine exempt,retired,n/a,n/a,one-time treatments test,catalog taxable flag disagrees with residential exemption,fix catalog flag,none
mosquito_event,2385a090-91c1-48ea-ad92-8a1864267b1b,n/a,Mosquito Event Spray Service,n/a,n/a,n/a,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,archived,none,none
tree_shrub_program,0327869c-f8b5-43ca-94b8-1d3b5316aa8c,Tree & Shrub (svcTs) 6x standard (default),Tree & Shrub Care,treeShrub (tier=standard; treeCount; palmCount),treeShrub {treeCount 1-200; palmCount 1-200},'Bi-Monthly Tree & Shrub Care Service',active,yes,no (commercial_tree_shrub),recurring,bimonthly,6,cost-plus annual: (material + labor + callback + $51 admin) / (1 - 0.45); monthly floor $35,bed area (explicit else lot x density %; fallback 2000 + review); NON-palm tree count (else density estimate); access,palmCount (service-line only!); shrub density factor (neutral); routine palm reserve (0/0 = dark),$35 x (max(25; 20 + bed/500 + trees x 1.5 + access) + 10) / 60 per visit,annual: $15 + $4/tree + $0.055/sf (x0.75 light; x1.25 enhanced); floor $10/visit,protocols.json tree_shrub (June-2026 catalog prices hand-derived),none live (per-tree/per-sf terms were derived once),none,$35/mo,monthly floor,bed >= 8000 sf; trees >= 15; difficult access + bed >= 4000 -> manual review,45% admin-inclusive,35% report-only,tier %; manual,qualifier,exempt,retired,5% prepay when no pest/mosquito setup fee,manual review reasons,tree-shrub v4.4 test + audit golden cases,ADMIN BUILDER sends palms at property level -> palms contribute $0 (public quote form sends service-line palms and prices them); blank tree count posts explicit 0 and suppresses the density fallback; whole-dollar re-rounding moves monthly +-$0.04,fix admin translator to pass palmCount on the service line; treat blank tree count as absent,Adam: palms priced inside T&S as generic trees ($4/yr + 1.5 min) or via the dark palm reserve?
tree_shrub_quarterly,68df56f5-1419-4e1b-8607-4130c00f50f3,Tree & Shrub 4x light (downsell),Tree & Shrub Care,treeShrub (tier=light),treeShrub {tier:light},'Quarterly Tree & Shrub Care Service',active,yes,no,recurring,quarterly,4,same model x lightFactor 0.75; floor $22/mo,same,same,same x 4 visits,same x 0.75,same,none,none,$22/mo,floor,same,45%,35%,tier %; manual,qualifier,exempt,retired,5% conditional,same,same,same,same,same
tree_shrub_6week,1f932dcf-7a80-4106-9435-bae62322b397,Tree & Shrub 9x enhanced (upsell),Tree & Shrub Care,treeShrub (tier=enhanced),treeShrub {tier:enhanced},'Every 6 Weeks Tree & Shrub Care Service',active,yes,no,recurring,every_6_weeks,9,same model x enhancedFactor 1.25; floor $48/mo,same,same,same x 9 visits,same x 1.25,protocols.json tops out at 6 visits (protocol/pricing cadence mismatch),none,none,$48/mo,floor,same,45%,35%,tier %; manual,qualifier,exempt,retired,5% conditional,same,same,pricing_config ts_material_rates note still says 9x retired; POLICY.md says retired; engine sells it,sync docs/config notes,Adam: confirm 9x T&S is sold and what visits 7-9 contain
palm_injection,a3cfd839-c21b-4e1c-a12f-a6393846e370,Palm Injection Service (svcInjection),Palm Injection / Palm Tree Injections,palm (selectable; not instant),palm {treatmentType:nutrition; palmCount REQUIRED},'Palm Injection Service',active (prod-reactivated; archived in migration-built DBs),yes,yes,one-time or recurring (apps/yr),per treatment (nutrition 1-2x; insecticide/combo 2x; lethal bronzing 4x; Tree-Age 0.5x),1-4,per palm ($35 nutrition; $45/$55/$75 insecticide; $65/$75/$95 combo; quote-based fungal/LB/Tree-Age) with $75 visit minimum,palmCount (positive integer; fail-closed); treatmentType; palmSize for tiered; dbh for Tree-Age,customPricePerPalm; highDose/largeDiameter flags -> quote,none modeled,internalCostBasis literals (Palm-Jet $125.63/L; Ima-Jet $295/L) audit-only,protocols.json palm_injection,none,'Arborjet QUIK-jet' asset exists; not linked,$75/visit,$75,none,n/a,n/a,excluded from %; Gold+ $10/palm/yr flat credit,NOT a qualifier,taxable=true in catalog,retired,n/a,quote-based when flags set,palm injection test + audit golden cases,no dose/plug/time model (price per palm only); customer-pricing-ai defaults combo+medium size; catalog row archived in fresh envs,add dose/time per size to the model,Adam: is per-palm flat pricing intended regardless of trunk size for nutrition?
palm_injection_semiannual,cd8bd2e0-5707-4fa0-8885-b9c3e3e1a355,(cadence variant),Semiannual Palm Injection Service,n/a,palm appsPerYear=2,'Semiannual Palm Injection Service',active,yes,yes,recurring,semiannual,2,same per-palm x 2,same,same,none,none,same,none,none,$75/visit,$75,none,n/a,n/a,flat credit only,no,taxable=true,retired,n/a,n/a,none direct,catalog row has no engine_key,link via engine_keys,none
palm_treatment,1b9b35a9-3699-405c-832d-1006f2a1ce4f,n/a,Palm Tree Nutritional Treatment Service,n/a,n/a,n/a,archived,-,-,recurring,quarterly,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,still referenced by trace-eligibility / converter / annual-prepay-renewals / admin-schedule,retire references,none
termite_bait,6f33e48c-e180-46df-bf36-2019b5543ed9,Termite Bait Stations (svcTermiteBait),Termite Bait Monitoring / Termite Bait / Termite Bait Station Service,termite (gated {ownership}),termite {system:trelona; monitoringTier:basic},'Termite Bait Station Service' (+ 'Termite Bond (N-Year Term)' rider; 'Station Rental' rider),active,yes,no (commercial_termite_bait),recurring (+ one-time install),quarterly,4,install = round(stations x ($22.05 + $5.25 + $0.75) x 1.45); monitoring monthly = $19 + $5 x max(0; ceil(stations/5) - 2) billed per application (monthly x 12 / 4),footprint or perimeter LF (perimeter = 4 sqrt(footprint) x 1.25/1.35); stations = max(8; ceil(perimeter / 15 ft)),ownership own/rent (rental uplift = install / 20 quarters); bond term; complexity; construction multiplier,install: 5 min/station x $35 computed but NOT in the billed base; monitoring: 5 min/station report-only,station $22.05 (catalog stale $24) + $5.25 labor/material + $0.75 misc; NO monitoring material-cost model exists in priceTermiteBait (the $1.50/station/visit and $7.50/station/yr figures were rodent-bait values — withdrawn); plan §A1 proposes the two-cartridge model,protocols.json termite; service_product_usage 'Termite Bait' Trelona 1 station/10 LF (disagrees with 15-ft spacing),none live; catalog Trelona station $24 flagged stale/needs_pricing,none,min 8 stations; $19/mo monitoring,n/a,none,install markup 45% on material (= 31% margin on material; install labor unrecovered by design); monitoring bracket,none,tier % on monitoring; bond + rental excluded,qualifier,exempt,retired,5% prepay (no setup fee),footprint unknown -> quote required (monitoring 'from' = 8-station rate),termite measurements + monitoring bracket + bond + rental tests,no monitoring cost model (margin unmeasurable until plan §A1's cartridge model lands; the §A1 estimate is Bronze −23%); station cost drift vs catalog; usage map spacing mismatch; docs still list Basic/Premier $35/$65,adopt the §A1 cartridge cost model then re-check monitoring margin; sync catalog station cost,Adam: is $19-$39/mo monitoring meant to be profitable stand-alone or a loss-leader for the install?
termite_bond_1yr,72b6df43-4341-4987-aba2-829a4cc097eb,Bond (warranty) term 1yr,Termite Bond (1-Year Term),n/a,n/a,'Termite Bond Service (1-Year Term)',active,yes,no,recurring rider,quarterly,4,flat $60/application,term,none,none,none,none,none,none,$60,n/a,n/a,n/a,n/a,excluded from %,no,exempt,retired,n/a,n/a,bond pricing test,1 engine key -> 3 catalog rows (identity by converter rewrite),ok,none
termite_bond_5yr,78952c61-5e15-4fbb-9b2f-99cbebc4f96c,Bond 5yr,Termite Bond (5-Year Term),n/a,n/a,'Termite Bond Service (5-Year Term)',active,yes,no,recurring rider,quarterly,4,$54/application,term,none,none,none,none,none,none,$54,n/a,n/a,n/a,n/a,excluded,no,exempt,retired,n/a,n/a,bond test,same,ok,none
termite_bond_10yr,34b66854-61c3-4eac-8bac-638510575b59,Bond 10yr,Termite Bond (10-Year Term),n/a,n/a,'Termite Bond Service (10-Year Term)',active,yes,no,recurring rider,quarterly,4,$45/application,term,none,none,none,none,none,none,$45,n/a,n/a,n/a,n/a,excluded,no,exempt,retired,n/a,n/a,bond test,same,ok,none
termite_station_rental,(no catalog row),Stations: rent,Station Rental,n/a,n/a,'Station Rental' rider,engine-only,yes,no,recurring rider,quarterly,4,install price / 20 quarters per application (permanent),ownership=rent,none,none,none,none,none,none,n/a,n/a,n/a,n/a,n/a,excluded,no,exempt,retired,n/a,n/a,rental test,no services row for the rider,add catalog identity,none
